YYIIYYXX	(8.718362204217876e-05+0j)
XXIIYYXX	(8.718362204217876e-05+0j)
YYIIXXXX	(8.718362204217876e-05+0j)
XXIIXXXX	(8.718362204217876e-05+0j)
YYYYYYII	(8.718362204217877e-05+0j)
XXYYYYII	(8.718362204217877e-05+0j)
YYXXYYII	(8.718362204217877e-05+0j)
XXXXYYII	(8.718362204217877e-05+0j)
YYYYXXII	(8.718362204217877e-05+0j)
XXYYXXII	(8.718362204217877e-05+0j)
YYXXXXII	(8.718362204217877e-05+0j)
XXXXXXII	(8.718362204217877e-05+0j)
IIIIZZIZ	(0.0015432733770005883+0j)
ZIIIIZIZ	(0.0016023448741377304+0j)
IZIIZIIZ	(0.0016023448741377304+0j)
ZZIIIIIZ	(0.0018075498333592604+0j)
IIIZZZII	(0.0018075498333592604+0j)
ZIIZIZII	(0.0016023448741377304+0j)
IZIZZIII	(0.0016023448741377304+0j)
ZZIZIIII	(0.0015432733770005883+0j)
ZIIIYYIZ	(2.579862564968234e-08+0j)
ZIIIXXIZ	(2.579862564968234e-08+0j)
YYIIZIIZ	(2.579862564972242e-08+0j)
XXIIZIIZ	(2.579862564972242e-08+0j)
ZIIZYYII	(2.579862564972242e-08+0j)
ZIIZXXII	(2.579862564972242e-08+0j)
YYIZZIII	(2.579862564968234e-08+0j)
XXIZZIII	(2.579862564968234e-08+0j)
IIIIZZYY	(-0.0006829298200024781+0j)
IIIIZZXX	(-0.0006829298200024781+0j)
ZIIIIZYY	(-0.0005983466941514356+0j)
ZIIIIZXX	(-0.0005983466941514356+0j)
IZIIZIYY	(-0.0005983466941514358+0j)
IZIIZIXX	(-0.0005983466941514358+0j)
ZZIIIIYY	(-0.000688130812384751+0j)
ZZIIIIXX	(-0.000688130812384751+0j)
IIYYZZII	(-0.000688130812384751+0j)
IIXXZZII	(-0.000688130812384751+0j)
ZIYYIZII	(-0.0005983466941514358+0j)
ZIXXIZII	(-0.0005983466941514358+0j)
IZYYZIII	(-0.0005983466941514356+0j)
IZXXZIII	(-0.0005983466941514356+0j)
ZZYYIIII	(-0.0006829298200024781+0j)
ZZXXIIII	(-0.0006829298200024781+0j)
ZIIIYYYY	(-7.760493335415221e-08+0j)
ZIIIXXYY	(-7.760493335415221e-08+0j)
ZIIIYYXX	(-7.760493335415221e-08+0j)
ZIIIXXXX	(-7.760493335415221e-08+0j)
YYIIZIYY	(-7.760493335418893e-08+0j)
XXIIZIYY	(-7.760493335418893e-08+0j)
YYIIZIXX	(-7.760493335418893e-08+0j)
XXIIZIXX	(-7.760493335418893e-08+0j)
ZIYYYYII	(-7.760493335418893e-08+0j)
ZIXXYYII	(-7.760493335418893e-08+0j)
ZIYYXXII	(-7.760493335418893e-08+0j)
ZIXXXXII	(-7.760493335418893e-08+0j)
YYYYZIII	(-7.760493335415221e-08+0j)
XXYYZIII	(-7.760493335415221e-08+0j)
YYXXZIII	(-7.760493335415221e-08+0j)
XXXXZIII	(-7.760493335415221e-08+0j)
ZIIIZIIZ	(0.0014577159781057004+0j)
